epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_avg,objective,alpha_group:0,alpha_group:1,alpha_group:2,count_group:0,count_group:1,count_group:2,count
0,8,0.675590455532074,0.5835489630699158,0.5649104714393616,0.6081028566360475,0.6047903895378113,0.6976048350334167,0.7499999403953552,0.6839999999999999,0.606943033695221,0.33270710706710815,0.3342060148715973,0.33301791548728943,334.0,334.0,332.0,1000
1,8,0.5947787761688232,0.46809956431388855,0.45307883620262146,0.5065486359596252,0.7492710947990417,0.8364197015762329,0.8858858942985535,0.8230000042915344,0.505567051887512,0.3319537937641144,0.33511045575141907,0.3329436779022217,343.0,324.0,333.0,1000
2,8,0.5446979403495789,0.3952915668487549,0.4124908447265625,0.4489385540485382,0.7795031070709229,0.9213483333587646,0.9316770434379578,0.8790000042915345,0.4495161535739899,0.3312053680419922,0.3348025381565094,0.33402180671691895,322.0,356.0,322.0,1000
3,8,0.5764718055725098,0.3712961673736572,0.3899388313293457,0.44131371808052056,0.7870967388153076,0.9277456402778625,0.9593023657798767,0.8950000014305116,0.44480085182189943,0.32802528142929077,0.33684754371643066,0.33517223596572876,310.0,346.0,344.0,1000
4,8,0.5497584342956543,0.34800130128860474,0.32837778329849243,0.40605409026145933,0.8006231188774109,0.9465875029563904,0.9853801131248474,0.9130000066757201,0.40592045378685,0.3252265155315399,0.3396739065647125,0.3350420892238617,321.0,337.0,342.0,1000
5,8,0.5505414009094238,0.3257370591163635,0.3241279125213623,0.39647065591812136,0.8044163584709167,0.9661017656326294,0.9969605207443237,0.92500000333786,0.39748058176040646,0.3232380151748657,0.3415569067001343,0.33513695001602173,317.0,354.0,329.0,1000
6,8,0.5328907370567322,0.3049677610397339,0.3073837161064148,0.3809481899738312,0.8393939137458801,0.968838632106781,0.9936908483505249,0.9340000061988831,0.3768868794441223,0.3215968906879425,0.3436677157878876,0.3346840739250183,330.0,353.0,317.0,1000
7,8,0.5028824210166931,0.2663169205188751,0.2950752377510071,0.3517159049510956,0.8286604285240173,0.9885715246200562,0.9908815026283264,0.9380000009536742,0.35171823692321774,0.31877562403678894,0.3450832664966583,0.33616775274276733,321.0,350.0,329.0,1000
8,8,0.5183038115501404,0.2863312065601349,0.2907096743583679,0.35976643610000614,0.8290321826934814,0.988304078578949,0.9913792610168457,0.94000000333786,0.3626245946884155,0.31885164976119995,0.3441321551799774,0.33706796169281006,310.0,342.0,348.0,1000
9,8,0.5042083859443665,0.25643202662467957,0.2762012481689453,0.3397362425327301,0.8414238691329956,0.9942857027053833,1.0,0.9490000019073485,0.34116190886497494,0.31902095675468445,0.343574583530426,0.3373112082481384,309.0,350.0,341.0,1000
10,8,0.5345760583877563,0.2819158732891083,0.26407870650291443,0.363250874042511,0.8550723791122437,0.9786585569381714,1.0,0.9430000042915344,0.35774494266510015,0.3204762637615204,0.34211573004722595,0.33740493655204773,345.0,328.0,327.0,1000
11,8,0.5809844136238098,0.24766795337200165,0.25613829493522644,0.35596056461334236,0.8132911920547485,0.9940119981765747,1.0,0.9390000042915344,0.3582503011226654,0.3199603855609894,0.3426719307899475,0.3374093174934387,316.0,334.0,350.0,1000
12,8,0.5384454131126404,0.24005228281021118,0.2362278252840042,0.3345973539352417,0.8348909616470337,0.9943661093711853,1.0,0.94500000333786,0.331598256111145,0.31815004348754883,0.3427773118019104,0.3390595316886902,321.0,355.0,324.0,1000
13,8,0.5165141224861145,0.25140145421028137,0.24713535606861115,0.3371815800666809,0.841945230960846,0.9939939975738525,1.0,0.9460000023841859,0.33409035372734075,0.31873390078544617,0.3441862463951111,0.33694952726364136,329.0,333.0,338.0,1000
14,8,0.557559609413147,0.24409380555152893,0.24013713002204895,0.34470403313636777,0.8307693004608154,0.9830986857414246,1.0,0.9390000009536744,0.3410129933357239,0.3164665699005127,0.3467985987663269,0.3366987109184265,325.0,355.0,320.0,1000
15,8,0.6591602563858032,0.23514287173748016,0.24367186427116394,0.39178192758560176,0.7933884859085083,0.990566074848175,1.0,0.9220000042915344,0.37485585665702814,0.3169500529766083,0.34635430574417114,0.33664020895957947,363.0,318.0,319.0,1000
16,8,0.5812090635299683,0.23574231564998627,0.2532222270965576,0.34869689917564395,0.818770170211792,0.9940476417541504,1.0,0.9420000057220459,0.3547737250328064,0.3181720972061157,0.34380611777305603,0.3379889726638794,309.0,336.0,355.0,1000
17,8,0.6493644714355469,0.2586391568183899,0.2500264048576355,0.3927058546543122,0.8171428442001343,0.9881656169891357,1.0,0.9320000009536742,0.3799042406082153,0.3185158967971802,0.34338995814323425,0.33812668919563293,350.0,338.0,312.0,1000
