epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_group:3,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_group:3,acc_avg,objective,alpha_group:0,alpha_group:1,alpha_group:2,alpha_group:3,count_group:0,count_group:1,count_group:2,count_group:3,count
0,50,0.45593830943107605,0.42705053091049194,0.3816617429256439,0.4514785706996918,0.42919468879699685,0.7812500596046448,0.8140702843666077,0.8643216490745544,0.8144329786300659,0.8181249999999999,0.4142851039767266,0.2263055294752121,0.2536097466945648,0.28680872917175293,0.2332915961742401,416.0,398.0,398.0,388.0,1600
0,100,0.1463298350572586,0.12298104166984558,0.06978731602430344,0.21988748013973236,0.13954739071428782,0.9547739624977112,0.9756690859794617,0.9974747896194458,0.9012658596038818,0.9575,0.12596285112202166,0.2263582944869995,0.2531561553478241,0.2859460413455963,0.23461183905601501,398.0,411.0,396.0,395.0,1600
0,150,0.09434700012207031,0.07065967470407486,0.01940433494746685,0.2141461819410324,0.09844253593617847,0.9784688353538513,0.9951921701431274,1.0,0.931034505367279,0.9768025078369904,0.08750935936562693,0.22649429738521576,0.25260674953460693,0.2841772437095642,0.23681531846523285,418.0,416.0,384.0,377.0,1595
1,50,0.053406745195388794,0.054212458431720734,0.026575762778520584,0.10945708304643631,0.06052517220377922,0.987980842590332,0.997487485408783,1.0,0.9613401889801025,0.986875,0.05435156982392073,0.22646081447601318,0.2538715600967407,0.2856657803058624,0.2340107560157776,416.0,398.0,398.0,388.0,1600
1,100,0.026838140562176704,0.029141001403331757,0.017008084803819656,0.04889350384473801,0.03044166537001728,1.0,1.0,1.0,0.9949367642402649,0.9987499999999997,0.02508274558931588,0.22634068131446838,0.25388404726982117,0.2851056158542633,0.23469100892543793,398.0,411.0,396.0,395.0,1600
1,150,0.037880949676036835,0.022587265819311142,0.008466224186122417,0.06548649072647095,0.03333541281568031,0.9928228855133057,1.0,1.0,0.9734748005867004,0.9918495297805642,0.027583715502978487,0.2263842672109604,0.25373396277427673,0.284748375415802,0.23515279591083527,418.0,416.0,384.0,377.0,1595
2,50,0.05612451955676079,0.036511678248643875,0.01357247680425644,0.11905384808778763,0.05719161441549658,0.9845361113548279,1.0,1.0,0.9622641801834106,0.9862499999999998,0.04767721025273204,0.22637620568275452,0.25330886244773865,0.28382617235183716,0.2365361601114273,388.0,373.0,415.0,424.0,1600
2,100,0.05415470153093338,0.03175465017557144,0.01480658445507288,0.061771586537361145,0.04094864087179305,0.9834122061729431,1.0,1.0,0.9900249242782593,0.9931249999999999,0.03327189879491923,0.22663439810276031,0.25299394130706787,0.28298336267471313,0.2373647391796112,422.0,377.0,400.0,401.0,1600
2,150,0.024670647457242012,0.02424054779112339,0.011897049844264984,0.05752534791827202,0.029692204193822264,1.0,1.0,1.0,0.9829267263412476,0.9956112852664578,0.027279643928719725,0.2266107201576233,0.2527730464935303,0.2824174463748932,0.23819926381111145,398.0,372.0,415.0,410.0,1595
3,50,0.0492580309510231,0.021100984886288643,0.01293193083256483,0.04446259140968323,0.031972691770643,0.9850000143051147,1.0,1.0,0.9900496006011963,0.9937499999999999,0.02742169369012118,0.2267906218767166,0.252616822719574,0.28193196654319763,0.2386602908372879,400.0,399.0,399.0,402.0,1600
