epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_group:3,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_group:3,acc_avg,objective,weight_group:0,weight_group:1,weight_group:2,weight_group:3,count_group:0,count_group:1,count_group:2,count_group:3,count
0,38,0.41113170981407166,0.4638349115848541,0.4197571873664856,0.4479341208934784,0.4360326291435825,0.89045649766922,0.8177381157875061,0.8611354827880859,0.8675985932350159,0.8590198122796227,0.43292003713695787,0.248478963971138,0.2516677975654602,0.2501663267612457,0.24974673986434937,1205.0,1229.0,1145.0,1216.0,4795
1,38,0.13695544004440308,0.13609875738620758,0.0888809934258461,0.23757612705230713,0.15115914250781315,0.9671564102172852,0.9825632572174072,0.9819821119308472,0.922834575176239,0.9628779976161606,0.14977603619830826,0.24670174717903137,0.2518652677536011,0.24598585069179535,0.25535836815834045,1157.0,1147.0,1221.0,1270.0,4795
2,38,0.09045273810625076,0.06785766035318375,0.02768837660551071,0.14910845458507538,0.08368857070974561,0.9769660234451294,0.9991555213928223,1.0,0.9384087920188904,0.9787278412032303,0.0835709507323654,0.24633914232254028,0.2503686845302582,0.24029730260372162,0.26298874616622925,1259.0,1184.0,1183.0,1169.0,4795
3,38,0.05235494673252106,0.0455494299530983,0.01915276050567627,0.09043097496032715,0.051962282617379285,0.9924998879432678,1.0,1.0,0.9740802645683289,0.9916579767611031,0.05215400568325154,0.2461158037185669,0.249113067984581,0.23611770570278168,0.26861250400543213,1200.0,1221.0,1178.0,1196.0,4795
4,38,0.03622795641422272,0.03133656084537506,0.013306079432368279,0.06418367475271225,0.03618081420333716,0.9974380731582642,1.0,1.0,0.9831366539001465,0.9952033368091763,0.03659652798078231,0.2462170571088791,0.24844297766685486,0.23374949395656586,0.27158358693122864,1171.0,1248.0,1190.0,1186.0,4795
5,38,0.03677010163664818,0.021026892587542534,0.012868321500718594,0.05249376967549324,0.03107848054029211,0.9920704960823059,1.0,1.0,0.9841521382331848,0.9939520333680919,0.030340508683521505,0.24661554396152496,0.24780352413654327,0.23201912641525269,0.27361351251602173,1135.0,1248.0,1150.0,1262.0,4795
6,38,0.024808555841445923,0.01980196125805378,0.010473323054611683,0.034116845577955246,0.02220124071415386,0.9991438984870911,1.0,1.0,0.9932489395141602,0.9981230448383732,0.022394206271165975,0.24692638218402863,0.24723291397094727,0.23070292174816132,0.2751552164554596,1168.0,1230.0,1212.0,1185.0,4795
7,38,0.02438916265964508,0.014238908886909485,0.010146473534405231,0.0280181635171175,0.019144533644891642,0.9965126514434814,1.0,1.0,0.9975530505180359,0.9985401459854012,0.019029169707200692,0.24708743393421173,0.24690969288349152,0.22979606688022614,0.2762193977832794,1147.0,1197.0,1225.0,1226.0,4795
8,38,0.018986381590366364,0.014414213597774506,0.009508122690021992,0.020129233598709106,0.015753292760057172,0.9975186586380005,1.0,1.0,1.0,0.9993743482794577,0.015588659835480174,0.2475130707025528,0.24657800793647766,0.22909638285636902,0.27682197093963623,1209.0,1194.0,1203.0,1189.0,4795
9,38,0.017589416354894638,0.012453892268240452,0.009114591404795647,0.01915881782770157,0.014675956855919428,1.0,1.0,1.0,1.0,1.0,0.014222576846567697,0.24779558181762695,0.24640507996082306,0.22863540053367615,0.277156263589859,1246.0,1199.0,1145.0,1205.0,4795
